"cle";"francais";"malagasy";"statut";"remarque"
"conseil.hors_fiches";"Les fiches AgriMada ne répondent pas à cette question. Demandez conseil à un technicien agricole.";"Tsy misy valin'ity fanontaniana ity ao amin'ny fiche AgriMada. Manontania teknisiana momba ny fambolena.";"à relire";""
"conseil.securite";"Les fiches AgriMada ne recommandent aucun produit ni aucune dose : la liste officielle des produits autorisés (DPV) n'est pas encore intégrée. Demandez conseil à un technicien agricole avant tout traitement.";"Tsy manoro vokatra na fatra ny fiche AgriMada : mbola tsy tafiditra ny lisitra ofisialin'ny vokatra nahazoan-dalana (DPV). Manontania teknisiana momba ny fambolena alohan'ny hitsaboana.";"à relire";""
"conseil.fiches_brouillon";"Réponse tirée de fiches en brouillon, pas encore validées par un agronome.";"Valiny avy amin'ny fiche mbola volavolan-kevitra, tsy mbola nohamarinin'ny agronoma.";"à relire";""
"conseil.reponse_automatique";"Réponse générée automatiquement : confirmez avec un technicien agricole avant d'agir.";"Valiny novokarin'ny milina : hamarino amin'ny teknisiana momba ny fambolena alohan'ny hanaovana zavatra.";"à relire";""
"conseil.malgache_non_relu";"";"Ny teny malagasy dia novokarin'ny milina ary mbola tsy novakian'ny olona miteny malagasy.";"à relire";""
"agent.urgence_sante";"Urgence : emmenez tout de suite la personne au centre de santé le plus proche, avec l'emballage du produit. N'attendez pas. AgriMada ne peut pas aider davantage.";"Maika : ataovy any amin'ny toeram-pitsaboana akaiky indrindra avy hatrany ilay olona, miaraka amin'ny fonon'ilay vokatra. Aza miandry. Tsy afaka manampy bebe kokoa ny AgriMada.";"à relire";""
"agent.refus_injection";"Je réponds seulement aux questions sur la santé du riz, à partir des fiches AgriMada.";"Ny fanontaniana momba ny fahasalaman'ny vary ihany no valiako, araka ny fiche AgriMada.";"à relire";""
"agent.salutation";"Bonjour ! Posez-moi une question sur la santé de votre riz, vos parcelles ou vos derniers scans.";"Manao ahoana ! Manontania ahy momba ny fahasalaman'ny vary, ny tanimbarinao na ny sary nalainao farany.";"à relire";""
"agent.modele_experimental";"Les pistes de scan viennent d'un modèle expérimental : elles doivent être confirmées par un technicien agricole.";"Avy amin'ny milina mbola andrana ireo soso-kevitra avy amin'ny sary : tsy maintsy hamarinin'ny teknisiana momba ny fambolena.";"à relire";""
"agent.repli_pistes";"D'après les fiches AgriMada, les pistes à vérifier sont : {pistes}. Ce ne sont que des pistes, pas un diagnostic : montrez la plante à un technicien agricole avant d'agir.";"Araka ny fiche AgriMada, ireto no mety ho izy : {pistes}. Tsy fitiliana marina izany : asehoy teknisiana momba ny fambolena ny vary alohan'ny hanaovana zavatra.";"à relire";""
"etiquette.bacterial leaf blight";"flétrissement bactérien";"malazo ravina vokatry ny bakteria";"à relire";""
"etiquette.brown spot";"helminthosporiose (tache brune)";"helminthosporiose";"à relire";""
"etiquette.leaf smut";"charbon foliaire";"charbon foliaire";"à relire";""
"etiquette.healthy";"plante saine";"vary salama";"à relire";""
"etiquette.normal";"plante saine";"vary salama";"à relire";""
